"";"metro_name";"newvar";"newvar1";"varplot";"id_grid";"count_p";"len";"cont_wh";"wh_vg_p";"wh_vg_s";"ipoi";"ikm";"iwh";"iprice";"isize";"poi_s";"km_s";"urban";"poi_mm";"km_mm";"urbn_mm";"sig_x";"sig_y";"sig_u";"sig_cw";"sig_pw";"sig_iw";"sig_ipw";"patterns_x";"patterns_y";"patterns_u";"patterns_cw";"patterns_pw";"patterns_iw";"patterns_ipw"
"1";"birmingham";0;"suburban";"suburban";1;0;0;0;0;0;0;0;0;0;0;-0,259566837389764;-1,21040858104012;-1,46997541842988;0;0;0;FALSE;TRUE;TRUE;FALSE;TRUE;FALSE;TRUE;"Not significant";"Low.Low";"Low.Low";"Not significant";"Low.Low";"Not significant";"Low.Low"
"2";"birmingham";0,00890553445897;"suburban";"suburban";2;0;4910,5630483482;0;0;0;0;0,000129943035822;0;0;0;-0,259566837389764;-1,13692126181811;-1,39648809920788;0;0,00890553445897;0,00890553445897;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;"Not significant";"Not significant";"Not significant";"Not significant";"Low.Low";"Not significant";"Not significant"
"3";"birmingham";0,019073538388619;"suburban";"suburban";3;0;10517,2590419954;0;0;0;0;0,000278307101445;0;0;0;-0,259566837389764;-1,05301620771144;-1,3125830451012;0;0,019073538388619;0,019073538388619;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;"Not significant";"Not significant";"Not significant";"Low.Low";"Low.Low";"Not significant";"Not significant"
"4";"birmingham";0,04719041039149;"suburban";"suburban";4;0;26021,0643810853;0;0;0;0;0,000688567903053;0;0;0;-0,259566837389764;-0,820999414343361;-1,08056625173312;0;0,04719041039149;0,04719041039149;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;"Not significant";"Low.Low";"Low.Low";"Not significant";"Not significant";"Not significant";"Not significant"
"5";"birmingham";0,159856343025355;"pericentral";"pericentral";5;0;88145,709246423;0;0;0;0;0,002332506668061;0;0;0;-0,259566837389764;0,108705298501824;-0,15086153888794;0;0,159856343025355;0,159856343025355;FALSE;TRUE;TRUE;TRUE;TRUE;FALSE;TRUE;"Not significant";"High.Low";"Low.Low";"Low.Low";"Low.Low";"Not significant";"Low.Low"
"6";"birmingham";0,090068102691868;"pericentral";"pericentral";6;0;49664,0711403937;0;0;0;0;0,00131420778264;0;0;0;-0,259566837389764;-0,467178239870559;-0,726745077260323;0;0,090068102691868;0,090068102691868;FALSE;TRUE;TRUE;FALSE;TRUE;FALSE;FALSE;"Not significant";"Low.Low";"Low.Low";"Not significant";"Low.Low";"Not significant";"Not significant"
"7";"birmingham";0,011845506813337;"suburban";"suburban";7;0;6531,68075588557;0;0;0;0;0,000172840958987;0;0;0;-0,259566837389764;-1,11266098997203;-1,3722278273618;0;0,011845506813337;0,011845506813337;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;"Not significant";"Not significant";"Not significant";"Low.Low";"Low.Low";"Not significant";"Not significant"
"8";"birmingham";0,035230648382842;"suburban";"suburban";8;0;19426,3826517315;0;0;0;0;0,000514059815944;0;0;0;-0,259566837389764;-0,919689824514464;-1,17925666190423;0;0,035230648382842;0,035230648382842;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;"Not significant";"Not significant";"Not significant";"Not significant";"Low.Low";"Not significant";"Low.Low"
"9";"birmingham";0,133098677333585;"pericentral";"pericentral";9;0;73391,3781042075;0;0;0;0;0,001942078409372;0;0;0;-0,259566837389764;-0,112095500078672;-0,371662337468436;0;0,133098677333585;0,133098677333585;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;"Not significant";"Not significant";"Not significant";"Not significant";"Low.Low";"Not significant";"Not significant"
"10";"birmingham";0,075330735217573;"suburban";"suburban";10;0;41537,8017421195;0;0;0;0;0,001099170911079;0;0;0;-0,259566837389764;-0,588789091309654;-0,848355928699417;0;0,075330735217573;0,075330735217573;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;"Not significant";"Not significant";"Not significant";"Not significant";"Low.Low";"Not significant";"Not significant"
"11";"birmingham";0,027850892006668;"suburban";"suburban";11;0;15357,1424355926;0;0;0;0;0,000406379816325;0;0;0;-0,259566837389764;-0,980586620220001;-1,24015345760977;0;0,027850892006668;0,027850892006668;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;TRUE;"Not significant";"Not significant";"Not significant";"Low.Low";"Low.Low";"Not significant";"Low.Low"
"12";"birmingham";0,075723334571621;"suburban";"suburban";12;1;37871,1440937106;0;0;0;0,000520020800832;0,00100214402812;0;0;0;-0,159951483258903;-0,643661177959079;-0,803612661217982;0,007042253521127;0,068681081050494;0,075723334571621;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;"Not significant";"Not significant";"Not significant";"Not significant";"Not significant";"Not significant";"Not significant"
"13";"birmingham";0,133682553232229;"pericentral";"pericentral";13;0;73713,3306412405;0;0;0;0;0,001950597898815;0;0;0;-0,259566837389764;-0,107277431635128;-0,366844269024892;0;0,133682553232229;0,133682553232229;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;"Not significant";"Not significant";"Not significant";"Not significant";"Not significant";"Low.Low";"Not significant"
