metro_name;uci_index_urban;metro_name;uci_index_iware
albany;0.112813900615996;albany;0.339987345907199
atlanta;0.11138743026594;atlanta;0.334958863197952
austin;0.112625720030511;austin;0.324823591042793
belo_horizonte;0.128022686583781;belo_horizonte;0.314305667427633
berlin;0.132573846082871;berlin;0.222419021665222
birmingham;0.110375824424865;birmingham;0.349321326213139
bordeaux;0.0744269976540716;bordeaux;0.351050634113133
boston;0.127392836489536;boston;0.302506091370076
brussels;0.158977990572228;brussels;0.237076335154422
buffalo;0.166948599483982;buffalo;0.336274551893508
charlotte;0.111111568077349;charlotte;0.330324861994623
chicago;0.155945295153822;chicago;0.301309535945888
cincinnati;0.118291978951694;cincinnati;0.329025978350081
cleveland;0.188411231281885;cleveland;0.318563467958173
columbus;0.115212393654597;columbus;0.338625041398116
dallas;0.142327992948254;dallas;0.325340158335701
dayton;0.137670072632535;dayton;0.308884968470013
denver;0.156427271637128;denver;0.344684384994104
detroit;0.134307689317863;detroit;0.296645016903362
flevoland;0.162181485748988;flevoland;0.295182390530414
grand_rapids;0.147188376041906;grand_rapids;0.34450819841035
greensboro;0.105412099395209;greensboro;0.33338124861806
greenville;0.10525425821646;greenville;0.328841973419834
houston;0.149348705232984;houston;0.316068374910831
indianapolis;0.147988854222493;indianapolis;0.340560099362353
kansas_city;0.147331231297517;kansas_city;0.337449697877449
las_vegas;0.192984526264858;las_vegas;0.350628337593996
los_angeles;0.17172369632199;los_angeles;0.29284352294049
louisville;0.120223849610712;louisville;0.343110973546886
miami;0.20666328989987;miami;0.325919307924957
milwaukee;0.207667371886431;milwaukee;0.337080875750722
montreal;0.146454275006266;montreal;0.345757165526299
nashville;0.105027885991563;nashville;0.345301043590802
new_orleans;0.260491477715905;new_orleans;0.35450460170072
new_york;0.143872067254834;new_york;0.295140481984643
noord_holland;0.134152703690751;noord_holland;0.225613673235215
orlando;0.161255062863676;orlando;0.330450485030297
paris;0.117907196833385;paris;0.276639772685104
philadelphia;0.11574601156814;philadelphia;0.30872059509433
phoenix;0.175206774640951;phoenix;0.344760131211725
pittisburg;0.111360063120394;pittisburg;0.329368551064139
portland;0.102237802731479;portland;0.340997181842818
raleigh;0.141883085784721;raleigh;0.330144990441272
richmond;0.0933877401731765;richmond;0.348060123609396
rochester;0.156717183779923;rochester;0.34661718040635
saint_louis;0.111650498994166;saint_louis;0.342257605739973
salt_lake_city;0.177750982117397;salt_lake_city;0.352483611105409
san_antonio;0.112841525306401;san_antonio;0.339954908235556
san_diego;0.164395153948807;san_diego;0.334606409231019
san_francisco;0.169388489518235;san_francisco;0.318484430095566
sao_paulo;0.154195368252544;sao_paulo;0.285441227573193
seattle;0.147625249256285;seattle;0.338395591386276
singapore;0.157983600056535;singapore;0.254547065863693
tampa;0.151828594550434;tampa;0.32203876945523
toronto;0.172420503177983;toronto;0.340719851730944
tucson;0.145162455737499;tucson;0.354227408226176
tulsa;0.105457182515701;tulsa;0.350595000208082
utrecht;0.137791630397652;utrecht;0.339126939453612
vancouver;0.181339422008234;vancouver;0.334690685885178
virginia_beach;0.167714566645393;virginia_beach;0.349784756785212
washington;0.121082426125052;washington;0.32648287529787
zuid_holland;0.132081993854104;zuid_holland;0.322955388343622
