cluster;uci_index_urban;uci_index_iware;moran_urban;moran_ware;moran_price;average_distance_ware_gravity_t0;average_distance_ware_gravity_t1;per_log_sprawl;u_HH;u_LL;u_LH;u_HL;cw_HH;cw_LL;cw_LH;cw_HL;pw_HH;pw_LL;pw_LH;pw_HL
1;0,131047619047619;0,331714285714286;0,695380952380952;0,272190476190476;0,244285714285714;0,373396187743390;0,301868182115096;-0,1845152303804420;0,0943669534938157;0,141762367797634;0,00143888325483641;0,000416700675936435;0,0244520309497765;0,314689008701664;0,0208462887848732;0,00588632822492047;0,0300769259373832;0,357062914420537;0,0355804189333084;0,005748841018102784
2;0,155125000000000;0,314500000000000;0,753875000000000;0,292750000000000;0,326250000000000;0,707352941176471;0,640346364883402;-0,0911591223992685;0,1196057863918436;0,169265399155080;0,00125265716455517;0,000236249928310367;0,0299074006501422;0,271754354309566;0,0174925221647155;0,00379783300318026;0,0488130405926672;0,302539911005941;0,0290229966516210;0,004137090662188967
3;0,220333333333333;0,347666666666667;0,732000000000000;0,293333333333333;0,368333333333333;0,239167862266858;0,277594878829447;0,2068891951153002;0,0656184091155379;0,203491509484437;0,00136672545954576;0,000000000000000000;0,0167052403810981;0,301649446545795;0,0172023387206394;0,00000000000000000;0,0220727770912237;0,505121983182157;0,0261773571578089;0,000322997416020672
4;0,139956521739130;0,327391304347826;0,722086956521739;0,335565217391304;0,318391304347826;0,240933191940615;0,165801872726188;-0,3162386520665217;0,1009358613354473;0,116708103339850;0,00140815066093108;0,000268408241934626;0,0254708414698747;0,307845472275321;0,0162889772370381;0,00370175764212397;0,0379375342585791;0,354650718185066;0,0301382182405056;0,004202701915838338
