"";"metro_name";"moran_poi";"moran_len";"moran_urban";"moran_ware";"moran_price";"moran_ware_intensity";"moran_price_intensity"
"1";"albany";"0.390283303109044";"0.665754928111402";"0.598557245242787";"0.27498626420796";"0.272534728214297";"0.27498626420796";"0.272534728214297"
"2";"atlanta";"0.423791779172814";"0.805592588242794";"0.753285343459236";"0.233563330491542";"0.196287702973828";"0.23356333049154";"0.196287702973828"
"3";"austin";"0.479523506561599";"0.700483771636718";"0.673756832334177";"0.319508178214005";"0.331382912209392";"0.319508178214007";"0.331382912209391"
"4";"belo_horizonte";"0.324383287305884";"0.732989759514936";"0.707954529457563";"0.558068852702199";"0.395478572580723";"0.558068852702198";"0.395478572580723"
"5";"berlin";"0.576180661594196";"0.468011198608407";"0.582849176660228";"0.190816942198624";"0.225076435521458";"0.190816942198626";"0.225076435521458"
"6";"birmingham";"0.471300296220959";"0.707578215246848";"0.685353116009922";"0.18128909255109";"0.159028930763891";"0.18128909255109";"0.159028930763891"
"7";"bordeaux";"0.25395827262702";"0.535698152613634";"0.510426933810147";"0.310536085461339";"0.281604502234789";"0.310536085461338";"0.281604502234789"
"8";"boston";"0.436328320091593";"0.75571452755606";"0.703939466489863";"0.151488176412831";"0.174634434747739";"0.151488176412826";"0.17463443474774"
"9";"brussels";"0.120415515857551";"0.0896816488065451";"0.135682965607536";"0.0922161794697485";"0.235229058608754";"0.0922161794697482";"0.235229058608754"
"10";"buffalo";"0.616258342489283";"0.780400071842341";"0.750480098698553";"0.484981607243916";"0.386080161689322";"0.484981607243915";"0.386080161689323"
"11";"charlotte";"0.428359064464394";"0.745144135877878";"0.690689679690106";"0.290046208546927";"0.292127856620428";"0.290046208546925";"0.292127856620428"
"12";"chicago";"0.559565899522104";"0.838139706371504";"0.82022160551978";"0.414989928961502";"0.199931662083644";"0.414989928961495";"0.199931662083644"
"13";"cincinnati";"0.39780456715258";"0.760942891179067";"0.715853097297647";"0.370281640025515";"0.305599108469589";"0.370281640025515";"0.305599108469589"
"14";"cleveland";"0.441514680835677";"0.809246664501791";"0.773951824963307";"0.30390936237728";"0.262869822082643";"0.303909362377282";"0.262869822082643"
"15";"columbus";"0.418494513639462";"0.80048315945256";"0.754892459944313";"0.342565078017426";"0.354324593317101";"0.342565078017425";"0.3543245933171"
"16";"dallas";"0.466036962035108";"0.829656413949723";"0.748124626636891";"0.191621344504636";"0.179718145120497";"0.191621344504634";"0.179718145120497"
"17";"dayton";"0.388231990004218";"0.639388688840582";"0.58289467729093";"0.280441433566434";"0.243946567194715";"0.280441433566433";"0.243946567194715"
"18";"denver";"0.511332791779877";"0.838117725856064";"0.795866979139021";"0.459189976267222";"0.267807742564732";"0.459189976267221";"0.267807742564732"
"19";"detroit";"0.474951846261853";"0.818240458310208";"0.781971606582363";"0.292402384807477";"0.350799274872372";"0.29240238480748";"0.350799274872372"
"20";"flevoland";"0.247069477604284";"0.299086139319196";"0.282249013430594";"0.167487643036089";"0.0891451385850477";"0.167487643036089";"0.0891451385850476"
"21";"grand_rapids";"0.439353301557944";"0.785171142811077";"0.708154546884898";"0.253896914571071";"0.154743907622894";"0.253896914571071";"0.154743907622894"
"22";"greensboro";"0.329028741626743";"0.671848191250385";"0.583526568840745";"0.360090582199624";"0.292400293238604";"0.360090582199624";"0.292400293238604"
"23";"greenville";"0.490086031623692";"0.684394139755396";"0.654142884431452";"0.317911063332049";"0.364563665837758";"0.31791106333205";"0.364563665837758"
"24";"houston";"0.537051216141265";"0.824742268495115";"0.786949982493488";"0.432859729767373";"0.3070481459387";"0.432859729767373";"0.3070481459387"
"25";"indianapolis";"0.574253959278065";"0.780760985363654";"0.732946387439871";"0.28867188847866";"0.180301648409708";"0.288671888478661";"0.180301648409708"
"26";"kansas_city";"0.341551255885161";"0.736149056901187";"0.631152823805566";"0.352218954498884";"0.29925988947236";"0.352218954498882";"0.29925988947236"
"27";"las_vegas";"0.44681966827287";"0.82590759923175";"0.809226045054437";"0.265258291062983";"0.488721832659978";"0.265258291062983";"0.488721832659978"
"28";"los_angeles";"0.454133098670529";"0.835166591155101";"0.793883274278979";"0.334944254143315";"0.518057637423642";"0.334944254143325";"0.518057637423642"
"29";"louisville";"0.520825325082515";"0.793547396979035";"0.747102573520014";"0.216997411561692";"0.159616711622363";"0.216997411561692";"0.159616711622363"
"30";"miami";"0.625823960326635";"0.827117979334561";"0.804124141325259";"0.381510574851491";"0.448703341884737";"0.381510574851493";"0.448703341884737"
"31";"milwaukee";"0.0934739175770082";"0.793283313138914";"0.662586398562435";"0.437059069759953";"0.377028950127684";"0.437059069759954";"0.377028950127684"
"32";"montreal";"0.422777085421233";"0.66280881507532";"0.652904943337425";"0.304575815405968";"0.00689134604445858";"0.304575815405969";"0.00689134604445858"
"33";"nashville";"0.414114634422736";"0.707932968448499";"0.650764485347703";"0.178815708534033";"0.151223410884006";"0.178815708534032";"0.151223410884006"
"34";"new_orleans";"0.485005607924249";"0.74252111231755";"0.723839237880649";"0.177784846556997";"0.238633226132794";"0.177784846556997";"0.238633226132794"
"35";"new_york";"0.545265664253729";"0.803104780988831";"0.798160577893345";"0.444726260246123";"0.435352130887514";"0.444726260246126";"0.435352130887514"
"36";"noord_holland";"0.385881096709717";"0.469649616290496";"0.485305735884917";"0.244472123228316";"0.119900602609274";"0.244472123228316";"0.119900602609274"
"37";"orlando";"0.423424159395034";"0.773925067465859";"0.716009525216522";"0.406945955749003";"0.331085348082144";"0.406945955749004";"0.331085348082144"
