metro_name;uci_index_urban;uci_index_iware;moran_poi;moran_len;moran_urban;moran_ware;moran_price;moran_ware_intensity;moran_price_intensity;pop_2000;pop_2015;area;municipalities;year_t0;year_t1;time;number_ware_t0;average_distance_ware_gravity_t0;number_ware_t1;average_distance_ware_gravity_t1;log_sprawl
phoenix;0,175;0,345;0,654;0,864;0,852;0,363;0,412;0,363;0,412;3251884;4578519;37834;2;1998;2015;17;41;17,86;183;20,6;Yes
pittisburg;0,111;0,329;0,509;0,744;0,701;0,186;0,185;0,186;0,185;1787955;1711755;13975;7;2003;2013;10;92;25,6;98;27,63;Yes
portland;0,102;0,341;0,239;0,759;0,727;0,505;0,449;0,505;0,449;1161090;1365871;18352;7;2003;2013;10;160;24,43;163;25,64;Yes
raleigh;0,142;0,330;0,507;0,768;0,705;0,120;0,188;0,120;0,188;781161;1238938;5563;3;2003;2013;10;76;31,16;77;31,3;Not
richmond;0,093;0,348;0,400;0,699;0,651;0,249;0,147;0,249;0,147;990282;1186339;12204;17;2003;2013;10;58;18,83;87;20,28;Yes
rochester;0,157;0,347;0,539;0,823;0,769;0,355;0,260;0,355;0,260;259409;263632;13891;6;2003;2013;10;45;25,88;48;25,31;Not
saint_louis;0,112;0,342;0,481;0,764;0,721;0,195;0,318;0,195;0,318;2148575;2311690;21032;15;2003;2013;10;148;23,91;144;21;Not
salt_lake_city;0,178;0,352;0,343;0,690;0,657;0,491;0,341;0,491;0,341;939169;1164912;21169;2;2003;2013;10;88;23,11;117;23,42;Yes
san_antonio;0,113;0,340;0,432;0,814;0,777;0,242;0,261;0,242;0,261;1747863;2405335;19250;8;2003;2013;10;47;13,89;67;18,33;Yes
san_diego;0,164;0,335;0,543;0,712;0,717;0,212;0,352;0,212;0,352;2813839;3280850;11730;1;2003;2013;10;84;21,68;86;20,74;Not
san_francisco;0,169;0,318;0,404;0,617;0,590;0,166;0,270;0,166;0,270;4123734;4647924;8897;5;2003;2013;10;305;56,07;349;57,29;Yes
sao_paulo;0,154;0,285;0,509;0,839;0,832;0,336;0,466;0,336;0,466;15080000;21600000;7944;39;1992;2017;25;228;17,5;2066;17,6;Not
seattle;0,148;0,338;0,381;0,759;0,721;0,302;0,394;0,302;0,394;622023;789074;17230;3;1998;2009;11;85;20,6;212;19,31;Not
singapore;0,158;0,255;0,446;0,598;0,570;0,079;0,143;0,079;0,143;NA;5685800;728;1;NA;NA;NA;NA;NA;NA;NA;NA
tampa;0,152;0,322;0,462;0,691;0,640;0,163;0,255;0,163;0,255;2396038;2983928;8740;4;2003;2013;10;63;16,91;79;16,66;Not
toronto;0,172;0,341;0,389;0,734;0,681;0,220;0,232;0,220;0,232;2432492;2745281;7930;21;2002;2012;10;165;16,7;228;17,9;Yes
tucson;0,145;0,354;0,393;0,780;0,748;0,187;0,275;0,187;0,275;843702;1009103;23847;1;2003;2013;10;33;56,66;55;45,8;Not
tulsa;0,105;0,351;0,543;0,736;0,718;0,256;0,295;0,256;0,295;822560;939783;16741;7;2003;2013;10;39;19,6;37;23,63;Yes
utrecht;0,138;0,339;0,285;0,435;0,418;0,151;0,303;0,151;0,303;1220000;1200000;1450;33;2007;2013;6;43;NA;61;NA;Yes
vancouver;0,181;0,335;0,551;0,710;0,706;0,305;0,349;0,305;0,349;1536734;1776325;3034;9;2002;2012;10;135;12,8;134;17;Yes
virginia_beach;0,168;0,350;0,395;0,716;0,647;0,246;0,308;0,246;0,308;1931738;2106945;10199;16;2003;2013;10;90;29,72;98;27,6;Not
washington;0,121;0,326;0,438;0,781;0,773;0,261;0,288;0,261;0,288;4709434;5720217;17391;24;2003;2013;10;285;51,87;318;55,01;Yes
zuid_holland;0,132;0,323;0,277;0,614;0,554;0,114;0,142;0,114;0,142;3420000;3600000;2818;91;2007;2013;6;168;NA;185;NA;Not
