vars;n;mean;sd;median;trimmed;mad;min;max;range;skew;kurtosis;se
28;62;2,54466426858505e-02;1,53264818801844e-02;2,11700989458493e-02;2,38186521493153e-02;1,26945231840719e-02;0,00000000000000e+00;8,33333333333333e-02;8,33333333333333e-02;1,277939138022168;2,22325152029768880;1,94646514524954e-03
29;62;4,29531456266626e-03;4,11022430114885e-03;3,16302432058637e-03;3,72943654455522e-03;3,61678982923651e-03;0,00000000000000e+00;1,58730158730159e-02;1,58730158730159e-02;1,039852260737123;0,46912579998945869;5,21999008245174e-04
30;62;1,77341496154307e-02;8,30066099580977e-03;1,58716608074520e-02;1,75836002894654e-02;7,67530500469744e-03;0,00000000000000e+00;4,01106500691563e-02;4,01106500691563e-02;0,276715756447627;-0,18008656616208141;1,05418500065337e-03
31;62;2,91401207274264e-01;1,00144993937550e-01;3,15642214344151e-01;3,01413625299410e-01;8,46050113382438e-02;0,00000000000000e+00;5,34883720930233e-01;5,34883720930233e-01;-0,804155844708020;0,75991232074714166;1,27184269485022e-02
32;62;6,61122685861789e-01;9,95835496261178e-02;6,44438428217822e-01;6,52164247162129e-01;8,02160702255787e-02;3,95348837209302e-01;1,00000000000000e+00;6,04651162790698e-01;0,844666614173460;1,70264761572297552;1,26471234496467e-02
33;62;3,48751965564259e-02;2,29036972381874e-02;3,18747277913822e-02;3,20880836447714e-02;2,10497219413549e-02;5,20833333333333e-03;1,08108108108108e-01;1,02899774774775e-01;1,213161303520054;1,42996294721488582;2,90877245802371e-03
34;62;4,19991839974812e-03;3,33326057296140e-03;3,72700734679704e-03;3,95955090377008e-03;3,65142636993945e-03;0,00000000000000e+00;1,19047619047619e-02;1,19047619047619e-02;0,414427509689984;-0,86759653447813800;4,23324516090826e-04
35;62;3,07924195103115e-02;9,84463941276980e-03;3,15655286458879e-02;3,11204161998484e-02;1,06486110221596e-02;0,00000000000000e+00;4,83481063658340e-02;4,83481063658340e-02;-0,427427492931314;0,16240343528850909;1,25027045569285e-03
36;62;3,37303834522985e-01;1,18590284660596e-01;3,41899174053183e-01;3,44173726966847e-01;1,13283056991922e-01;0,00000000000000e+00;5,54455445544555e-01;5,54455445544555e-01;-0,532114227963573;-0,10120381873044515;1,50609812128844e-02
37;62;5,92828631010530e-01;1,11716097538295e-01;5,77489356669820e-01;5,81871353220324e-01;8,60938531841784e-02;4,05940594059406e-01;9,37500000000000e-01;5,31559405940594e-01;0,900947263876162;0,57111087775865954;1,41879585753291e-02
