metro_name;uci_index_urban;uci_index_iware;moran_poi;moran_len;moran_urban;moran_ware;moran_price;moran_ware_intensity;moran_price_intensity;pop_2000;pop_2015;area;municipalities;year_t0;year_t1;time;number_ware_t0;average_distance_ware_gravity_t0;number_ware_t1;average_distance_ware_gravity_t1;log_sprawl;u_HH;u_HL;u_LH;u_LL;u_NS;cw_HH;cw_HL;cw_LH;cw_LL;cw_NS;pw_HH;pw_HL;pw_LH;pw_LL;pw_NS;log_sprawl_
dallas;0,142;0,325;0,466;0,830;0,748;0,192;0,180;0,192;0,180;2846428;4321973;24982;13;2003;2013;10;338;30,80;402;29,98;Not;0,1343523732904264;0,000804505229283990;0,001609010458567981;0,1263073209975865;0,736926790024135;0,02172164119066774;0,008849557522123894;0,02091713596138375;0,2783588093322606;0,670152855993564;0,02574416733708769;0,011263073209975865;0,0418342719227675;0,3378921962992760;0,583266291230893;0
dayton;0,138;0,309;0,388;0,639;0,583;0,280;0,244;0,280;0,244;269526;271791;3368;3;2003;2013;10;54;21,58;49;28,71;Yes;0,1151832460732984;0,000000000000000000;0,000000000000000000;0,0523560209424084;0,832460732984293;0,04188481675392670;0,005235602094240838;0,02617801047120419;0,1727748691099476;0,753926701570681;0,05759162303664921;0,005235602094240838;0,0471204188481675;0,2146596858638743;0,675392670157068;1
denver;0,156;0,345;0,511;0,838;0,796;0,459;0,268;0,459;0,268;2316068;2908463;21909;10;2003;2013;10;118;17,11;147;16,43;Not;0,0711071107110711;0,000000000000000000;0,002700270027002700;0,1134113411341134;0,812781278127813;0,01710171017101710;0,002700270027002700;0,01260126012601260;0,4023402340234024;0,565256525652565;0,02340234023402340;0,001800180018001800;0,0315031503150315;0,3366336633663367;0,606660666066607;0
detroit;0,134;0,297;0,475;0,818;0,782;0,292;0,351;0,292;0,351;2201458;2350511;11190;6;2003;2013;10;196;31,53;210;36,55;Yes;0,1431005110732538;0,000000000000000000;0,003407155025553663;0,1226575809199319;0,730834752981261;0,04599659284497445;0,010221465076660987;0,01362862010221465;0,2810902896081772;0,649063032367973;0,07836456558773425;0,008517887563884156;0,0425894378194208;0,2640545144804088;0,606473594548552;1
grand_rapids;0,147;0,345;0,439;0,785;0,708;0,254;0,155;0,254;0,155;250981;301251;10056;4;2003;2013;10;62;22,16;72;24,53;Yes;0,0948905109489051;0,000000000000000000;0,001824817518248175;0,2481751824817518;0,655109489051095;0,01277372262773723;0,000000000000000000;0,02007299270072993;0,3394160583941606;0,627737226277372;0,01094890510948905;0,001824817518248175;0,0328467153284672;0,3941605839416059;0,560218978102190;1
greensboro;0,105;0,333;0,329;0,672;0,584;0,360;0,292;0,360;0,292;720580;842338;5235;3;2003;2013;10;88;31,58;88;27,91;Not;0,0782918149466192;0,000000000000000000;0,003558718861209964;0,0854092526690391;0,832740213523132;0,03914590747330961;0,003558718861209964;0,03558718861209965;0,3736654804270463;0,548042704626335;0,03558718861209965;0,010676156583629894;0,0284697508896797;0,3167259786476868;0,608540925266904;0
greenville;0,105;0,329;0,490;0,684;0,654;0,318;0,365;0,318;0,365;453531;566978;7220;4;2003;2013;10;101;32,03;97;28,82;Not;0,0673575129533679;0,002590673575129534;0,000000000000000000;0,0880829015544041;0,841968911917098;0,03367875647668394;0,015544041450777202;0,02072538860103627;0,3186528497409327;0,611398963730570;0,04145077720207254;0,007772020725388601;0,0233160621761658;0,3082901554404145;0,619170984455959;0
houston;0,149;0,316;0,537;0,825;0,787;0,433;0,307;0,433;0,307;1193312;1762483;24640;9;2003;2013;10;221;23,69;298;26,15;Yes;0,1273166800966962;0,000805801772763900;0,000805801772763900;0,1394037066881547;0,731668009669621;0,04915390813859791;0,004834810636583401;0,01692183722804190;0,2908944399677679;0,638195004029009;0,05882352941176471;0,007252215954875101;0,0483481063658340;0,3400483481063659;0,545527800161160;1
indianapolis;0,148;0,341;0,574;0,781;0,733;0,289;0,180;0,289;0,180;824209;1033843;11328;11;2003;2013;10;121;28,90;171;28,90;Not;0,0933786078098472;0,000000000000000000;0,001697792869269949;0,1035653650254669;0,801358234295416;0,01697792869269949;0,001697792869269949;0,01867572156196944;0,3565365025466893;0,606112054329372;0,01867572156196944;0,005093378607809848;0,0390492359932088;0,4040747028862479;0,533106960950764;0
kansas_city;0,147;0,337;0,342;0,736;0,631;0,352;0,299;0,352;0,299;729993;796646;19199;14;2003;2013;10;159;19,91;153;24,37;Yes;0,0736196319018405;0,000000000000000000;0,002044989775051125;0,2607361963190184;0,663599182004090;0,01840490797546012;0,001022494887525562;0,01226993865030675;0,2975460122699387;0,670756646216769;0,03271983640081800;0,002044989775051125;0,0439672801635992;0,4049079754601227;0,516359918200409;1
