cluster;uci_index_urban;uci_index_iware;moran_poi;moran_len;moran_urban;moran_ware;moran_price;moran_ware_intensity;moran_price_intensity;pop_2000;pop_2015;area;municipalities;number_ware_t0;average_distance_ware_gravity_t0;number_ware_t1;average_distance_ware_gravity_t1;log_sprawl;u_HH;u_HL;u_LH;u_LL;u_NS;cw_HH;cw_HL;cw_LH;cw_LL;cw_NS;pw_HH;pw_HL;pw_LH;pw_LL;pw_NS
1;0,144333333333333;0,336000000000000;0,470611111111111;0,763111111111111;0,715888888888889;0,287833333333333;0,282277777777778;0,287833333333333;0,282277777777778;0,0992666078465801;0,0829002082896246;0,281024904214559;0,0470085470085470;0,0997842502696872;0,365088474414156;0,0493857360295716;0,250708733424783;0,000000000000000;0,0956954037480692;0,000486946166270061;0,001875006928460891;0,149822071664140;0,752120571493060;0,0215993802903887;0,00533934852176449;0,0179545878745189;0,335835582498288;0,619271100815040;0,0286363268101032;0,00596062617467154;0,0336346249439454;0,373954456510897;0,557813965560382
2;0,138035714285714;0,333035714285714;0,423857142857143;0,730285714285714;0,693535714285714;0,303392857142857;0,278464285714286;0,303392857142857;0,278464285714286;0,0884047432970224;0,0814480057716770;0,314045566502463;0,0914835164835165;0,0889582370164894;0,263998770239803;0,0493080793961420;0,223623358808544;1,000000000000000;0,0893836622802881;0,000369956885177352;0,001241017598873755;0,120741459045970;0,788263904189691;0,0223244145199884;0,00354051271146580;0,0189034824571256;0,314100722020950;0,641130868290470;0,0295114983156685;0,00387265686043206;0,0322353502008037;0,383824137427099;0,550556357195996
3;0,152571428571429;0,310857142857143;0,485571428571429;0,768000000000000;0,740714285714286;0,290000000000000;0,298142857142857;0,290000000000000;0,298142857142857;0,3379337067234733;0,2651802117377511;0,352532840722496;0,0648351648351648;0,2652180613345662;0,678766140602582;0,1615879228403690;0,637664119145601;1,000000000000000;0,1251631172714233;0,000157158573000157;0,001436697362788097;0,165889632581859;0,707353394210930;0,0324893133236203;0,00574580331981313;0,0185683777479564;0,259949002525618;0,683247503082992;0,0511354626123171;0,00428031123607658;0,0307264829111336;0,271079593103658;0,642778150136815
4;0,138666666666667;0,285666666666667;0,573666666666667;0,823666666666667;0,819333333333333;0,420333333333333;0,495000000000000;0,420333333333333;0,495000000000000;0,9155131583949010;0,7654690125252614;0,376954022988506;0,4923076923076923;0,6637900035958288;0,348063127690100;0,6309523809523809;0,290123456790123;0,666666666666667;0,1332870327761015;0,000263296471827278;0,000789889415481833;0,149412502998531;0,716247278338058;0,0520884535466007;0,00184642406554868;0,0102799035966314;0,160878739054993;0,774906479736226;0,0903255538835997;0,00316625518744281;0,0175723704601349;0,219954476074056;0,668981344394766
